id,number,faculty,class,name
1,15418,ИМИТ,1,23ПИнж(б)РПиС-1
2,15383,ИМИТ,1,23ИБ(б)БАС-1
4,15694,ИМИТ,1,23ИБ(б)БАС-2
3,15422,ИМИТ,1,23ИВТ(б)ВМК
5,15323,ИМИТ,1,23ИВТ(м)ИПО
6,15328,ИМИТ,1,23ИСТ(б)-1
7,15692,ИМИТ,1,23ИСТ(б)-2
8,15386,ИМИТ,1,23ИСТ(м)ИИП
9,15406,ИМИТ,1,23ИСТ(м)ИСТЦЭ
10,15322,ИМИТ,1,23КБ(с)РЗПО-1
11,15695,ИМИТ,1,23КБ(с)РЗПО-2
12,15314,ИМИТ,1,23МКН(б)ЦТ
13,15420,ИМИТ,1,23ПИ(б)Эк
14,15693,ИМИТ,1,23ПИнж(б)РПиС-2
15,15337,ИМИТ,1,23ПИнж(м)РИтС
16,15403,ИМИТ,1,23ПМ(б)МКМ
17,15339,ИМИТ,1,23ПМИ(б)ППКС
18,15410,ИМИТ,1,23ПМИ(м)ГОГИИ
19,15332,ИМИТ,1,23САУ(а)
20,15359,ИМИТ,1,23Ст(б)СУД
21,15373,ИМИТ,1,23ФИИТ(б)РАИС
22,15384,ИМИТ,1,23ФИИТ(м)ГТРКС
